---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                             | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                                                                                                                                                               
---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
All files                        |   58.01 |    44.13 |   56.57 |   61.29 |                                                                                                                                                                                                                                                                                                                 
 components/dynamic              |   31.42 |    13.79 |      30 |   29.03 |                                                                                                                                                                                                                                                                                                                 
  DynamicFieldsSection.tsx       |   31.42 |    13.79 |      30 |   29.03 | 8-10,26,35-103                                                                                                                                                                                                                                                                                                  
 components/installments         |    84.9 |    65.95 |   77.77 |   87.09 |                                                                                                                                                                                                                                                                                                                 
  PaymentModal.tsx               |   78.04 |    57.14 |   57.14 |   78.04 | 66-67,88-89,94,103,133,156-166                                                                                                                                                                                                                                                                                  
  installmentsConstants.ts       |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  installmentsUtils.ts           |   88.88 |    73.07 |    90.9 |      94 | 28-29,60                                                                                                                                                                                                                                                                                                        
 components/ui                   |   54.31 |    47.51 |   77.41 |   58.78 |                                                                                                                                                                                                                                                                                                                 
  AppModal.tsx                   |      57 |    45.05 |   83.33 |   63.21 | 135-139,145-146,156-187,207,229                                                                                                                                                                                                                                                                                 
  Button.tsx                     |     100 |    72.72 |     100 |     100 | 14,19,47                                                                                                                                                                                                                                                                                                        
  CurrencySuffix.tsx             |   83.33 |     37.5 |     100 |     100 | 6-12                                                                                                                                                                                                                                                                                                            
  Input.tsx                      |   43.47 |    42.35 |      75 |   47.36 | 64-67,72-75,80-98                                                                                                                                                                                                                                                                                               
  MoneyInput.tsx                 |   48.48 |    65.38 |   57.14 |   46.66 | 23-24,67,82-100                                                                                                                                                                                                                                                                                                 
 context                         |    53.7 |    39.18 |   38.88 |   58.58 |                                                                                                                                                                                                                                                                                                                 
  ToastContext.tsx               |    53.7 |    39.18 |   38.88 |   58.58 | 67,111,130,158-159,166-167,174-175,182-183,189-191,196-205,209-214,251,332-372,387-401                                                                                                                                                                                                                          
 pages/sales/components          |    42.1 |    17.64 |   27.27 |   38.88 |                                                                                                                                                                                                                                                                                                                 
  LoadingSkeleton.tsx            |      50 |      100 |       0 |      50 | 8-10                                                                                                                                                                                                                                                                                                            
  SalesListingsTab.tsx           |      40 |    17.64 |   33.33 |   35.71 | 40,58-73,117-138                                                                                                                                                                                                                                                                                                
 services                        |   56.52 |    46.85 |   54.54 |   59.67 |                                                                                                                                                                                                                                                                                                                 
